a,b,mean
1.31E+00,1.28E+00,8.409030612
1.33E+00,1.28E+00,8.594662588
1.33E+00,1.30E+00,8.764358704
1.34E+00,1.35E+00,9.488048473
1.34E+00,1.40E+00,10.22740924
1.34E+00,1.40E+00,10.22740924
1.37E+00,1.40E+00,10.51106
1.37E+00,1.44E+00,11.08715137
1.37E+00,1.45E+00,11.22652373
1.37E+00,1.50E+00,12.14255655
1.37E+00,1.54E+00,12.90279745
1.41E+00,1.54E+00,13.43794442
1.41E+00,1.54E+00,13.43794442
1.41E+00,1.54E+00,13.43794442
1.41E+00,1.57E+00,14.03290512
1.42E+00,1.57E+00,14.22946262
1.43E+00,1.57E+00,14.38690988
1.43E+00,1.57E+00,14.38690988
1.45E+00,1.57E+00,14.62115127
1.45E+00,1.59E+00,14.9878128
1.45E+00,1.60E+00,15.19520259
1.45E+00,1.65E+00,16.58533466
1.45E+00,1.65E+00,16.58533466
1.45E+00,1.69E+00,17.83344275
1.45E+00,1.69E+00,17.97092943
1.45E+00,1.69E+00,17.97092943
1.45E+00,1.69E+00,17.95397683
1.47E+00,1.72E+00,19.05715545
1.47E+00,1.72E+00,19.05715545
1.47E+00,1.76E+00,20.644058
1.47E+00,1.76E+00,20.644058
1.47E+00,1.76E+00,20.644058
1.47E+00,1.79E+00,21.67454537
1.47E+00,1.79E+00,21.67454537
1.47E+00,1.81E+00,22.57612937
1.47E+00,1.82E+00,22.76407265
1.47E+00,1.84E+00,23.67640937
1.49E+00,1.84E+00,23.94149718
1.50E+00,1.84E+00,24.1907577
1.50E+00,1.86E+00,25.30202212
1.50E+00,1.92E+00,28.35799681
1.50E+00,1.92E+00,28.33510867
1.50E+00,1.98E+00,31.57275823
1.50E+00,2.00E+00,33.36924507
1.53E+00,2.00E+00,34.33107187
1.53E+00,2.05E+00,37.82035458
1.56E+00,2.05E+00,38.89921921
1.56E+00,2.05E+00,38.89921921
1.56E+00,2.07E+00,40.60946604
1.57E+00,2.07E+00,41.03139449
1.57E+00,2.07E+00,41.03139449
1.60E+00,2.11E+00,45.73574964
1.60E+00,2.15E+00,49.33505702
1.60E+00,2.15E+00,49.33505702
1.60E+00,2.20E+00,56.31503962
1.60E+00,2.25E+00,62.76849048
1.63E+00,2.25E+00,64.70927879
1.63E+00,2.26E+00,65.063456
1.63E+00,2.26E+00,65.063456
1.63E+00,2.26E+00,65.063456
1.65E+00,2.32E+00,76.36944051
1.65E+00,2.33E+00,79.8515898
1.65E+00,2.33E+00,79.8515898
1.67E+00,2.33E+00,80.90595528
1.67E+00,2.37E+00,87.69656328
1.68E+00,2.41E+00,98.20285649
1.69E+00,2.41E+00,99.50173024
1.72E+00,2.42E+00,105.4875809
1.75E+00,2.43E+00,111.716555
1.75E+00,2.43E+00,111.716555
1.76E+00,2.47E+00,121.9655811
1.77E+00,2.47E+00,122.3794254
1.79E+00,2.47E+00,125.0159254
1.81E+00,2.47E+00,127.9906485
1.82E+00,2.52E+00,147.6293902
1.82E+00,2.54E+00,156.1400168
1.82E+00,2.60E+00,181.4591048
1.82E+00,2.60E+00,181.4591048
1.82E+00,2.60E+00,182.3371271
1.82E+00,2.60E+00,182.3371271
1.83E+00,2.60E+00,184.8258999
1.85E+00,2.65E+00,213.8525133
1.85E+00,2.65E+00,213.7743367
1.85E+00,2.67E+00,225.9144962
1.85E+00,2.72E+00,256.556973
1.85E+00,2.72E+00,256.556973
1.85E+00,2.72E+00,256.556973
1.88E+00,2.72E+00,263.1963277
1.88E+00,2.72E+00,262.9601933
1.88E+00,2.72E+00,262.9601933
1.88E+00,2.72E+00,262.9601933
1.88E+00,2.74E+00,281.0961526
1.90E+00,2.74E+00,287.6401014
1.91E+00,2.76E+00,300.498666
1.93E+00,2.76E+00,308.2965038
1.93E+00,2.78E+00,325.3090037
1.94E+00,2.78E+00,327.7595602
1.97E+00,2.78E+00,337.4642003
1.99E+00,2.80E+00,370.1815863
1.99E+00,2.84E+00,410.5468145
1.99E+00,2.84E+00,410.4537746
1.99E+00,2.85E+00,419.4899191
1.99E+00,2.87E+00,454.3261818
2.00E+00,2.93E+00,546.7474143
2.00E+00,2.93E+00,546.7474143
