,,,,CumA,,,,,,,
0.028448721,0.027561608,0.029432476,,0.028635568,0.027865585,0.029502759,,,0.028594867,0.027510132,0.029812758
0.057270386,0.055559525,0.058910233,,0.058933769,0.056130045,0.061541058,,,0.054993115,0.052784997,0.057160977
4.6,4.6,4.6,,4.6,4.6,4.6,,,4.6,4.6,4.6
1943.319961,1265.86917,2778.56105,,2220.596749,1406.96549,3164.31308,,,2412.681446,1344.49424,3814.252095
0.069334635,0.054829677,0.086835277,,0.058859899,0.043955354,0.078773363,,,0.056782369,0.040705714,0.078427599
0.960042473,0.908139756,0.997266513,,0.996881419,0.98862974,0.99991732,,,0.957161309,0.90636407,0.996564782
0.782451689,0.702766305,0.861361274,,0.875579495,0.790732288,0.958576203,,,0.852699481,0.778248643,0.925775362
0.85817483,0.798345369,0.926092941,,0.850090546,0.790238474,0.915607525,,,0.742367592,0.690065131,0.798458201
0.751253168,0.684646654,0.819189528,,0.815921257,0.746251964,0.885442482,,,0.826445901,0.76840253,0.884278014
0.849202208,0.802526097,0.899775141,,0.854789224,0.80737227,0.904643342,,,0.731218998,0.690603794,0.774812209
1.93E-05,1.80E-05,2.07E-05,,1.65E-05,1.39E-05,1.91E-05,,,2.10E-05,1.81E-05,2.53E-05
3.20E-05,2.96E-05,3.46E-05,,3.27E-05,2.85E-05,3.77E-05,,,3.49E-05,3.12E-05,3.89E-05
0.000272409,0.000249923,0.000295506,,0.000271649,0.000244014,0.000300683,,,0.000293624,0.000265478,0.000323715
4.95E-05,4.30E-05,5.57E-05,,4.98E-05,4.27E-05,5.69E-05,,,5.44E-05,4.72E-05,6.21E-05
1.67E-05,1.42E-05,1.94E-05,,1.69E-05,1.44E-05,1.96E-05,,,1.85E-05,1.58E-05,2.13E-05
0.000261171,0.000235588,0.000288598,,0.00026366,0.000238464,0.000290488,,,0.000283321,0.000256744,0.000312117
